Auteur,nb_comments,nb_likes,texte,date,nb_partages,taux d'engagement
Cabral 2018 tv,6 commentaires,"105
105",#CABRAL_2018,21 h,20 partages,
Cabral 2018 tv,6 commentaires,"105
105",#CABRAL_2018,21 h,20 partages,
Cabral 2018 tv,7 commentaires,"74
74",#CAbral_2018 💓🇨🇲️🇨🇭️,"31 août, 11:36",6 partages,
Cabral 2018 tv,7 commentaires,"74
74",#CAbral_2018 💓🇨🇲️🇨🇭️,"31 août, 11:36",6 partages,
Cabral 2018 tv,5 commentaires,"99
99",#Présidentielles_2018,"28 août, 23:58",20 partages,
Cabral 2018 tv,5 commentaires,"99
99",#Présidentielles_2018,"28 août, 23:58",20 partages,
Cabral 2018 tv,4 commentaires,"32
32","Candidat à l’élection présidentielle de 2018 🇨🇲️, je vous donne rendez-vous le Dimanche 09 Septembre 2018 pour un Meeting qui se tiendra en France 🇫🇷️. Le lieu et l""heure vous seront indiqués dans les prochains jours.
Vous po
Plus d""informations. 06 18 77 11 48 / 06 52 27 91 37","23 août, 11:15",,
Cabral 2018 tv,4 commentaires,"32
32","Candidat à l’élection présidentielle de 2018 🇨🇲️, je vous donne rendez-vous le Dimanche 09 Septembre 2018 pour un Meeting qui se tiendra en France 🇫🇷️. Le lieu et l""heure vous seront indiqués dans les prochains jours.
Vous po
Plus d""informations. 06 18 77 11 48 / 06 52 27 91 37","23 août, 11:15",,
Cabral 2018 tv,7 commentaires,"65
65",#CABRAL_2018 💖🇨🇲️🙏🏿 #JVC,"22 août, 19:22",52 partages,
Cabral 2018 tv,7 commentaires,"65
65",#CABRAL_2018 💖🇨🇲️🙏🏿 #JVC,"22 août, 19:22",52 partages,
Cabral 2018 tv,64 commentaires,"75
75",#CABRAL_PRESIDENTIELLES_2018 💖🇨🇲️🙏🏿 #JVC,"22 août, 15:55",24 partages,
Cabral 2018 tv,64 commentaires,"75
75",#CABRAL_PRESIDENTIELLES_2018 💖🇨🇲️🙏🏿 #JVC,"22 août, 15:55",24 partages,
Cabral 2018 tv,79 commentaires,"169
169","💖🇨🇲️ Chers compatriotes, pour une belle campagne, nous avons besoin de 200 millions de francs. Merci, 🙏🏿Mobilisons nous ici. 👉🏿 https://bit.ly/2MMpJsn 🙏🏿🙏🏿","18 août, 21:55",81 partages,
Cabral 2018 tv,79 commentaires,"169
169","💖🇨🇲️ Chers compatriotes, pour une belle campagne, nous avons besoin de 200 millions de francs. Merci, 🙏🏿Mobilisons nous ici. 👉🏿 https://bit.ly/2MMpJsn 🙏🏿🙏🏿","18 août, 21:55",81 partages,
Cabral 2018 tv,15 commentaires,"99
99",#JVC JE VOTE CABRAL 🇨🇲️💓🙏🏿,"17 août, 22:16",3 partages,
Cabral 2018 tv,15 commentaires,"99
99",#JVC JE VOTE CABRAL 🇨🇲️💓🙏🏿,"17 août, 22:16",3 partages,
