Auteur,nb_comments,nb_likes,texte,date,nb_partages,taux d'engagement
President Paul Biya,70 ,553.0,"🇨🇲🇨🇳 Lors de la table ronde de haut niveau présidée ce jour par S.E. #XiJinping, j’ai dressé le bilan de la coopération #ChineAfrique. La Déclaration de Beijing et le Plan Triennal d’Action 2019-2021 du FOCAC sont soutenus par le #Cameroun.","4 septembre, 15:29",109 ,
President Paul Biya,14 ,295.0,"🇨🇲🇨🇳 #Cameroon strongly supports the final documents of the 2018 FOCAC Summit, especially the Beijing Declaration and the 2019-2021 Action Plan.","4 septembre, 15:20",59 ,
President Paul Biya,126 ,"1,1 K
1,1 K","🇨🇲🇨🇳 Le sommet du #FOCAC2018, s’est officiellement ouvert à #Beijing, ce 3 septembre. J’y prends part aux côtés de mes pairs d’#Afrique, du Président de la République Populaire de #Chine et d’une vingtaine d’organisations internationales.","3 septembre, 18:32",271 ,
President Paul Biya,27 ,385.0,"🇨🇲🇨🇳 Today, I joined other African leaders and representatives from 27 international and regional organisations at the opening ceremony of the 2018 FOCAC summit in Beijing.","3 septembre, 18:26",90 ,
President Paul Biya,35 ,357.0,"🇨🇲🇨🇳 Today, I held a reassuring discussion with H.E. #XiJinping on the new orientation of Sino-Cameroon cooperation at the Great Hall of the People. I have reiterated #Cameroon""s adherence to China""s Belt and Road Initiative.","31 août, 20:34",71 ,
President Paul Biya,171 ,"1,1 K","🇨🇲🇨🇳 J’ai eu des entretiens fructueux ce jour au Grand Palais du Peuple avec S.E. #XiJinping, sur la nouvelle orientation de la coopération Sino-camerounaise. Des accords de coopération ont été signés à cette occasion.","31 août, 20:30",324 ,
President Paul Biya,14 ,313.0,🇨🇲🇨🇳 At a dinner offered by President #XiJinping to honour our presence in #Beijing.,"31 août, 20:23",52 ,
President Paul Biya,85 ,856.0,"🇨🇲🇨🇳 Dîner offert en l’honneur de la délégation camerounaise, au nom du Président #XiJinping, par le Président du Comité National de la Conférence Consultative Politique du Peuple Chinois, M. WANG YANG.","31 août, 20:16",283 ,
President Paul Biya,310 ,2 K,"🇨🇲🇨🇳 Mon épouse et moi sommes arrivés à Beijing ce vendredi, 31 août 2018, à 12 H (heure locale), pour prendre part au Sommet du Forum sur la Coopération Sino-Africaine.","31 août, 11:58",509 ,
President Paul Biya,14 ,402.0,"🇨🇲🇨🇳 My wife and I are in Beijing, venue for the third Summit of the Forum on China-Africa Cooperation (#FOCAC2018). We arrived at the Beijing International Airport on Friday 31 August 2018, at midday local time.","31 août, 11:55",64 ,
President Paul Biya,54 ,568.0,"🇨🇲🇨🇳 At the invitation of H.E. #XiJinping, I left #Yaounde late this morning with my Spouse #ChantalBiya to take part in the Summit of the Forum on China-Africa Cooperation in #Beijing, from 3 to 4 September 2018.","28 août, 19:19",79 ,
President Paul Biya,460 ,"2,2 K","🇨🇲🇨🇳 A l""invitation de S.E. #XiJinping, j’ai quitté #Yaoundé ce jour en fin de matinée, en compagnie de mon épouse Mme #ChantalBiya pour prendre part au Forum sur la Coopération Sino-Africaine qui aura lieu à #Pékin en #Chine, du 3 au 4 septembre 2018.","28 août, 18:21",436 ,
President Paul Biya,942 ,"4,5 K","Au terme d’un séjour privé en Europe, j’ai regagné #Yaoundé, samedi 25 Août 2018, en fin d’après-midi, en compagnie de mon épouse #ChantalBiya.","25 août, 22:15",802 ,
President Paul Biya,135 ,"1 K
Procureur Augustin et 1 K autres personnes","A cheerful reception at the Nsimalen International Airport after our brief private stay in Europe.
#PaulBiya
#Cameroon","25 août, 21:06",145 ,
President Paul Biya,26 ,196.0,"🇨🇲🇲🇱
My sincere congratulations to His Excellency Ibrahim Boubacar Keïta on his re-election as President of the Republic of Mali.
#PaulBiya
#Cameroon
cc: Présidence de la République du Mali","22 août, 18:58",15 ,
President Paul Biya,216 ,608.0,"🇨🇲🇺🇸 J’ai appris avec émotion, le décès de Madame Aretha Franklin. Avec sa disparition, les #USA viennent de perdre l""une des légendes de la scène musicale mondiale. J’adresse, en cette triste circonstance, mes sincères condoléances à S.E. Donald Trump.","22 août, 18:52",126 ,
President Paul Biya,24 ,258.0,"🇨🇲🇲🇱 Il m""est agréable d’adresser mes vives et chaleureuses félicitations à S.E. Ibrahim Boubacar Keïta, suite à sa réélection à la magistrature suprême de la République du #Mali. J’y associe mes vœux de succès dans l""accomplissement de son nouveau mandat.","22 août, 18:34",30 ,
President Paul Biya,18 ,218.0,"🇨🇲🇮🇳 J""adresse mes sincères condoléances à S.E. Ram Nath Kovind, suite au bilan extrêmement lourd des victimes des violentes inondations qui ont dévasté l""Etat de Kerala en Inde.","22 août, 18:17",33 ,
President Paul Biya,42 ,333.0,"Today, our Muslim brothers and sisters celebrate the Feast of Sacrifice. Happy Eid al-Adha !
Bonne Fête de la Tabaski à toute la Communauté Musulmane.","21 août, 10:05",40 ,
President Paul Biya,39 ,271.0,"🇨🇲🇬🇭 Mes sincères condoléances au Président de la République du #Ghana, S.E. Nana Akufo-Addo, suite au décès de M. @KofiAnnan, ancien Secrétaire Général de l""#ONU et Prix Nobel de la Paix.","20 août, 12:23",69 ,
